,,,players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,url
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,
league,season,team,,,,,,,,,,,,,
ENG-Premier League,2122,Arsenal,27,38,60,581,186,32.0,15.29,4.89,0.09,0.3,5,8,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
ENG-Premier League,2122,Aston Villa,31,38,50,461,159,34.5,12.13,4.18,0.1,0.3,3,3,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
ENG-Premier League,2122,Brentford,29,38,46,436,141,32.3,11.47,3.71,0.09,0.28,6,6,/en/squads/cd051869/2021-2022/Brentford-Stats
ENG-Premier League,2122,Brighton,26,38,40,482,141,29.3,12.68,3.71,0.07,0.26,4,7,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2122,Burnley,23,38,32,405,119,29.4,10.66,3.13,0.08,0.26,1,2,/en/squads/943e8050/2021-2022/Burnley-Stats
ENG-Premier League,2122,Chelsea,26,38,75,583,200,34.3,15.34,5.26,0.11,0.34,8,9,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
ENG-Premier League,2122,Crystal Palace,24,38,50,404,140,34.7,10.63,3.68,0.11,0.31,6,8,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
ENG-Premier League,2122,Everton,33,38,42,430,130,30.2,11.32,3.42,0.08,0.28,6,7,/en/squads/d3fd31cc/2021-2022/Everton-Stats
ENG-Premier League,2122,Leeds United,29,38,42,480,142,29.6,12.63,3.74,0.08,0.26,5,5,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
ENG-Premier League,2122,Leicester City,28,38,62,433,164,37.9,11.39,4.32,0.14,0.37,2,2,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
ENG-Premier League,2122,Liverpool,27,38,94,721,237,32.9,18.97,6.24,0.12,0.37,7,8,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
ENG-Premier League,2122,Manchester City,26,38,96,704,237,33.7,18.53,6.24,0.13,0.38,7,9,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
ENG-Premier League,2122,Manchester Utd,29,38,56,503,179,35.6,13.24,4.71,0.11,0.3,3,5,/en/squads/19538871/2021-2022/Manchester-United-Stats
ENG-Premier League,2122,Newcastle United,29,38,41,446,142,31.8,11.74,3.74,0.09,0.27,3,3,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
ENG-Premier League,2122,Norwich City,28,38,21,370,104,28.1,9.74,2.74,0.05,0.17,3,3,/en/squads/1c781004/2021-2022/Norwich-City-Stats
ENG-Premier League,2122,Southampton,25,38,41,478,161,33.7,12.58,4.24,0.08,0.23,4,4,/en/squads/33c895d4/2021-2022/Southampton-Stats
ENG-Premier League,2122,Tottenham Hotspur,25,38,63,486,185,38.1,12.79,4.87,0.12,0.31,5,5,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
ENG-Premier League,2122,Watford,30,38,33,397,123,31.0,10.45,3.24,0.08,0.26,1,2,/en/squads/2abfe087/2021-2022/Watford-Stats
ENG-Premier League,2122,West Ham United,25,38,58,443,142,32.1,11.66,3.74,0.12,0.38,4,6,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
ENG-Premier League,2122,Wolves,26,38,35,401,133,33.2,10.55,3.5,0.08,0.26,1,1,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
ENG-Premier League,2223,Arsenal,26,38,84,589,194,32.9,15.5,5.11,0.14,0.42,3,4,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
ENG-Premier League,2223,Aston Villa,26,38,49,427,145,34.0,11.24,3.82,0.11,0.32,3,4,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
ENG-Premier League,2223,Bournemouth,31,38,37,358,126,35.2,9.42,3.32,0.1,0.29,0,0,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
ENG-Premier League,2223,Brentford,25,38,56,400,147,36.8,10.53,3.87,0.12,0.33,7,8,/en/squads/cd051869/2022-2023/Brentford-Stats
ENG-Premier League,2223,Brighton,29,38,68,607,219,36.1,15.97,5.76,0.1,0.28,6,6,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2223,Chelsea,32,38,37,481,151,31.4,12.66,3.97,0.07,0.23,3,3,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
ENG-Premier League,2223,Crystal Palace,26,38,38,423,133,31.4,11.13,3.5,0.09,0.28,1,3,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
ENG-Premier League,2223,Everton,28,38,32,426,143,33.6,11.21,3.76,0.07,0.2,3,3,/en/squads/d3fd31cc/2022-2023/Everton-Stats
ENG-Premier League,2223,Fulham,29,38,52,420,137,32.6,11.05,3.61,0.11,0.34,5,9,/en/squads/fd962109/2022-2023/Fulham-Stats
ENG-Premier League,2223,Leeds United,29,38,45,459,141,30.7,12.08,3.71,0.1,0.31,1,3,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
ENG-Premier League,2223,Leicester City,28,38,49,412,142,34.5,10.84,3.74,0.11,0.32,3,6,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
ENG-Premier League,2223,Liverpool,28,38,71,601,203,33.8,15.82,5.34,0.11,0.34,2,4,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,Manchester City,24,38,92,590,205,34.7,15.53,5.39,0.14,0.4,9,10,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
ENG-Premier League,2223,Manchester Utd,26,38,56,590,206,34.9,15.53,5.42,0.09,0.26,3,3,/en/squads/19538871/2022-2023/Manchester-United-Stats
ENG-Premier League,2223,Newcastle United,27,38,64,565,184,32.6,14.87,4.84,0.1,0.32,6,6,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
ENG-Premier League,2223,Nottingham Forest,33,38,36,362,111,30.7,9.53,2.92,0.09,0.3,3,6,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
ENG-Premier League,2223,Southampton,36,38,36,413,132,32.0,10.87,3.47,0.08,0.26,2,4,/en/squads/33c895d4/2022-2023/Southampton-Stats
ENG-Premier League,2223,Tottenham Hotspur,29,38,68,512,186,36.3,13.47,4.89,0.12,0.34,5,6,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
ENG-Premier League,2223,West Ham United,25,38,41,466,133,28.5,12.26,3.5,0.08,0.26,6,8,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
ENG-Premier League,2223,Wolves,32,38,28,409,119,29.1,10.76,3.13,0.06,0.21,3,3,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
ENG-Premier League,2324,Arsenal,25,38,86,647,209,32.3,17.03,5.5,0.12,0.36,10,10,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,Aston Villa,31,38,72,511,182,35.6,13.45,4.79,0.13,0.37,4,4,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,Bournemouth,30,38,52,539,175,32.5,14.18,4.61,0.09,0.29,2,3,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,Brentford,28,38,54,470,159,33.8,12.37,4.18,0.11,0.32,3,3,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,Brighton,30,38,50,555,198,35.7,14.61,5.21,0.08,0.23,5,6,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,Burnley,31,38,40,430,137,31.9,11.32,3.61,0.09,0.27,3,3,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,Chelsea,32,38,76,537,194,36.1,14.13,5.11,0.12,0.34,11,12,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,Crystal Palace,26,38,56,452,162,35.8,11.89,4.26,0.12,0.32,4,4,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,Everton,26,38,40,504,152,30.2,13.26,4.0,0.08,0.25,2,3,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,Fulham,25,38,54,499,175,35.1,13.13,4.61,0.1,0.3,2,2,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,Liverpool,30,38,80,781,263,33.7,20.55,6.92,0.09,0.28,6,9,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,Luton Town,28,38,49,427,134,31.4,11.24,3.53,0.1,0.33,5,5,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,Manchester City,25,38,94,683,264,38.7,17.97,6.95,0.12,0.32,9,10,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,Manchester Utd,31,38,57,543,182,33.5,14.29,4.79,0.09,0.28,6,7,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,Newcastle United,32,38,83,542,196,36.2,14.26,5.16,0.14,0.38,8,9,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,Nottingham Forest,33,38,49,450,143,31.8,11.84,3.76,0.11,0.34,1,1,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,Sheffield United,35,38,31,360,117,32.5,9.47,3.08,0.07,0.22,5,5,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,Tottenham Hotspur,29,38,69,582,207,35.6,15.32,5.45,0.12,0.32,2,2,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,West Ham United,26,38,58,445,146,32.8,11.71,3.84,0.12,0.37,4,5,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
ENG-Premier League,2324,Wolves,27,38,47,425,153,36.0,11.18,4.03,0.1,0.28,4,4,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
ENG-Premier League,2425,Arsenal,25,38,67,544,178,32.7,14.32,4.68,0.12,0.37,2,2,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,28,38,56,478,159,33.3,12.58,4.18,0.11,0.33,3,6,/en/squads/8602292d/2024-2025/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,29,38,57,574,192,33.4,15.11,5.05,0.09,0.27,6,7,/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
ENG-Premier League,2425,Brentford,28,38,65,434,173,39.9,11.42,4.55,0.14,0.35,5,6,/en/squads/cd051869/2024-2025/Brentford-Stats
ENG-Premier League,2425,Brighton,32,38,64,526,183,34.8,13.84,4.82,0.11,0.31,7,7,/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,29,38,61,590,203,34.4,15.53,5.34,0.1,0.28,4,5,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,29,38,49,512,175,34.2,13.47,4.61,0.09,0.26,3,4,/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,26,38,39,404,139,34.4,10.63,3.66,0.09,0.27,2,2,/en/squads/d3fd31cc/2024-2025/Everton-Stats
ENG-Premier League,2425,Fulham,26,38,53,516,167,32.4,13.58,4.39,0.1,0.3,3,4,/en/squads/fd962109/2024-2025/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,32,38,35,374,120,32.1,9.84,3.16,0.09,0.28,2,2,/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,32,38,33,332,105,31.6,8.74,2.76,0.09,0.3,2,3,/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,24,38,85,639,215,33.6,16.82,5.66,0.12,0.35,9,9,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
ENG-Premier League,2425,Manchester City,30,38,71,603,208,34.5,15.87,5.47,0.11,0.33,3,4,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,31,38,42,524,168,32.1,13.79,4.42,0.07,0.23,4,4,/en/squads/19538871/2024-2025/Manchester-United-Stats
ENG-Premier League,2425,Newcastle United,24,38,66,519,163,31.4,13.66,4.29,0.12,0.37,5,6,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats
ENG-Premier League,2425,Nottingham Forest,23,38,57,460,162,35.2,12.11,4.26,0.12,0.33,3,3,/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,36,38,25,341,106,31.1,8.97,2.79,0.07,0.24,0,2,/en/squads/33c895d4/2024-2025/Southampton-Stats
ENG-Premier League,2425,Tottenham Hotspur,31,38,61,493,177,35.9,12.97,4.66,0.12,0.33,3,4,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham United,27,38,43,473,137,29.0,12.45,3.61,0.08,0.29,3,3,/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,32,38,53,431,155,36.0,11.34,4.08,0.12,0.34,0,0,/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats
ENG-Premier League,2526,Arsenal,24,35,63,507,172,33.9,14.49,4.91,0.12,0.34,4,4,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2526,Aston Villa,30,35,45,439,149,33.9,12.54,4.26,0.1,0.3,0,0,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2526,Bournemouth,26,35,54,489,167,34.2,13.97,4.77,0.1,0.29,5,6,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2526,Brentford,26,35,50,376,140,37.2,10.74,4.0,0.11,0.3,8,10,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2526,Brighton,28,35,48,449,160,35.6,12.83,4.57,0.1,0.28,3,5,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2526,Burnley,27,35,32,319,104,32.6,9.11,2.97,0.09,0.29,2,2,/en/squads/943e8050/Burnley-Stats
ENG-Premier League,2526,Chelsea,29,35,53,486,156,32.1,13.89,4.46,0.09,0.29,7,8,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2526,Crystal Palace,29,34,35,391,123,31.5,11.5,3.62,0.07,0.23,7,7,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2526,Everton,22,35,42,389,131,33.7,11.11,3.74,0.1,0.31,2,2,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2526,Fulham,24,35,40,433,125,28.9,12.37,3.57,0.08,0.29,4,4,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2526,Leeds United,24,35,46,446,143,32.1,12.74,4.09,0.09,0.29,5,7,/en/squads/5bfb9659/Leeds-United-Stats
ENG-Premier League,2526,Liverpool,24,35,57,540,159,29.4,15.43,4.54,0.1,0.35,1,2,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2526,Manchester City,27,34,66,525,183,34.9,15.44,5.38,0.12,0.34,3,4,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2526,Manchester Utd,27,35,60,544,199,36.6,15.54,5.69,0.1,0.28,4,6,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2526,Newcastle United,25,35,49,454,161,35.5,12.97,4.6,0.09,0.27,6,6,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2526,Nottingham Forest,31,35,43,433,141,32.6,12.37,4.03,0.09,0.28,3,3,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2526,Sunderland,29,35,34,353,117,33.1,10.09,3.34,0.08,0.26,4,5,/en/squads/8ef52968/Sunderland-Stats
ENG-Premier League,2526,Tottenham Hotspur,30,35,44,390,138,35.4,11.14,3.94,0.11,0.32,0,0,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2526,West Ham United,32,35,40,364,122,33.5,10.4,3.49,0.1,0.3,3,3,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2526,Wolves,30,35,24,337,115,34.1,9.63,3.29,0.07,0.19,2,4,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
